Name,Ratings,ReviewCount,Location,Cuisine,Cost (for two)
Trèsind,4.7,631,"Bandra Kurla Complex, Mumbai","Modern Indian, Street Food, North Indian, Beverages","4,000"
Bayroute,4.7,,"Bandra Kurla Complex, Mumbai","Egyptian, Turkish, Lebanese, Moroccan, Greek, Desserts, Beverages","3,000"
Nara,4.5,,"Bandra Kurla Complex, Mumbai","Thai, Seafood, Asian, Bar Food","3,000"
Taftoon Bar & Kitchen,4.5,,"Bandra Kurla Complex, Mumbai","North Indian, Lucknowi, Bengali, Kashmiri, Bihari, Beverages","2,500"
BKC DIVE,4.4,"7,882","Bandra Kurla Complex, Mumbai","Continental, North Indian, Chinese","1,100"
Butterfly High,4.4,"2,364","Bandra Kurla Complex, Mumbai","Modern Indian, Fast Food, Continental, North Indian, Chinese","1,500"
Theobroma,4.3,,"Bandra Kurla Complex, Mumbai","Bakery, Fast Food, Desserts, Beverages",500
Elementaria Bakery Cafe,4.2,,"Bandra Kurla Complex, Mumbai","Healthy Food, Bakery, Ice Cream, Beverages, Coffee",600
Burn - Bar & Kitchen,4.1,,"Bandra Kurla Complex, Mumbai","North Indian, Mughlai, Italian, Continental, Oriental, Beverages, Desserts","1,700"
Hemant Oberoi Restaurant,4.1,,"Bandra Kurla Complex, Mumbai","European, Asian, North Indian","2,600"
Pizza Hut,4,,"Bandra Kurla Complex, Mumbai","Pizza, Fast Food, Desserts",600
Yauatcha Pâtisserie,4,,"Bandra Kurla Complex, Mumbai",Bakery,600
Fusion Eatery,3.7,,"Bandra Kurla Complex, Mumbai","Chinese, Street Food, Fast Food",200
Spice House,3.7,,"Bandra Kurla Complex, Mumbai","Chinese, Mangalorean, Italian, Mexican",500
Orbango,3.6,,"Bandra Kurla Complex, Mumbai",Beverages,200
Hakka Mama,4.1,,"Bandra Talao, Bandra West, Mumbai",Chinese,350
Copper Chimney,4,,"Bandra Talao, Bandra West, Mumbai","North Indian, Mughlai, Rolls","1,100"
National Restaurant,4,,"Bandra Talao, Bandra West, Mumbai",North Indian,500
Mi Amigos,3.9,,"Bandra Talao, Bandra West, Mumbai","Fast Food, Beverages, Chinese",300
Chunkies,3.6,,"Bandra Talao, Bandra West, Mumbai",Fast Food,300
New Riyaz,3.6,,"Bandra Talao, Bandra West, Mumbai","North Indian, Chinese, Mughlai",550
Saayba Hotel,3.6,,"Bandra Talao, Bandra West, Mumbai","Seafood, Maharashtrian, Malwani",800
Subko Speciality Coffee Roasters & Bakehouse,3.6,,"Bandra Talao, Bandra West, Mumbai","Coffee, Desserts, Beverages",600
Sahas Snack Centre,3.5,,"Bandra Talao, Bandra West, Mumbai","South Indian, Sandwich, Fast Food",250
Sai Sagar,3.5,,"Bandra Talao, Bandra West, Mumbai","South Indian, North Indian, Chinese",550
Salt Water Cafe,4.4,"3,225","Bandstand, Bandra West, Mumbai","Italian, Pasta, Burger, Salad, Sandwich, Healthy Food, Desserts, Beverages","1,600"
The Tamarind Tree,3.9,,"Bandstand, Bandra West, Mumbai",Chinese,600
Fomo Cafe And Restaurant,3.8,,"Bandstand, Bandra West, Mumbai","Thai, Continental, Fast Food, North Indian, Burger, Beverages, Chinese","1,000"
Momoman,3.8,,"Bandstand, Bandra West, Mumbai","Momos, Chinese",500
Good Luck Cafe,3.6,,"Bandstand, Bandra West, Mumbai","North Indian, Parsi",550
Hanuman Bar & Restaurant,3.5,54,"Bhandup, Mumbai","North Indian, Malwani, Maharashtrian, Chinese, Mughlai, Finger Food, Seafood, Biryani",700
The Fusion Kitchen,4.9,"5,232","Borivali West, Mumbai","Continental, Mexican, Italian, Thai, Asian, Desserts, Beverages","1,600"
The Timess Square,4.5,"3,515","Borivali West, Mumbai","Fast Food, Continental, Chinese, North Indian, Beverages","1,500"
Zaika Crave - Club Aquaria,4.4,"1,813","Borivali West, Mumbai","North Indian, Chinese, Continental, Mughlai, Biryani, Beverages","1,500"
Callisto Bistro Bar,4.2,335,"Borivali West, Mumbai","North Indian, Chinese, Fast Food, Seafood","1,400"
B - 103,4.1,711,"Borivali West, Mumbai","Asian, Bar Food, Fast Food, Goan, North Indian","1,800"
90 Ft Above,4,"2,555","Borivali West, Mumbai","North Indian, Italian, Asian, Chinese, Thai, Beverages","1,600"
Spirit Kitchen and Bar,4,581,"Borivali West, Mumbai","Chinese, North Indian, Seafood, Mughlai, Finger Food","1,500"
Spin City Kitchen & Bar,3.9,704,"Borivali West, Mumbai","Continental, Asian, Biryani, Mughlai, North Indian, Desserts","1,800"
The Road House,4.2,"1,549","Boulevard Mall, Majiwada, Thane West, Thane","Finger Food, Continental","1,700"
Indian Zing,4,460,"Boulevard Mall, Majiwada, Thane West, Thane","North Indian, Chinese, Thai","1,200"
Candy And Green,4.3,"1,292","Breach Candy, Mumbai","Asian, Italian, Continental, Desserts, Healthy Food","2,000"
Auber-Gin Plates & Pours,4.3,374,"Breach Candy, Mumbai","Mediterranean, Italian, Bar Food","2,000"
The Ghetto,3.9,443,"Breach Candy, Mumbai","Italian, Continental, Fast Food","1,600"
Dirty Buns SoBo,3.8,55,"Breach Candy, Mumbai","American, Korean","2,000"
Kailash Parbat,3.5,,"Breach Candy, Mumbai","Street Food, Desserts",350
Sarvi,4.4,,"Byculla, Mumbai","Mughlai, North Indian",350
Afzal Restaurant,4.2,,"Byculla, Mumbai","Mughlai, North Indian, Chinese, Seafood",700
Gloria,4.1,,"Byculla, Mumbai","North Indian, Mughlai, Chinese, Seafood",600
Grills & Wok,4.1,,"Byculla, Mumbai","Chinese, Asian, Seafood",850
Hotel Sigdi,4,,"Byculla, Mumbai","Chinese, Maharashtrian, Seafood, BBQ",500
Mughlai Kitchen,4,,"Byculla, Mumbai","Chinese, Fast Food, Lebanese",400
Renault Bar & Restaurant,3.9,148,"Byculla, Mumbai","Chinese, North Indian, Thai, Fast Food, Seafood","1,000"
Grills And Rice,3.9,,"Byculla, Mumbai","North Indian, Chinese, Mughlai, Malwani","1,000"
Haji Tikka Corner,3.9,,"Byculla, Mumbai","Fast Food, Mughlai, Rolls",250
Noor Sahab,3.9,,"Byculla, Mumbai","North Indian, Chinese, Seafood, Asian",800
Zaika Delicious Fast Food,3.9,,"Byculla, Mumbai","Mughlai, Chinese, Rolls, Fast Food, Malwani",700
AL Kabeer Lounge,3.8,,"Byculla, Mumbai","Mughlai, North Indian, Chinese, Seafood",750
New Anand Bhuvan,3.8,,"Byculla, Mumbai",Maharashtrian,200
The Tasty Tongue,3.8,,"Byculla, Mumbai","Pizza, Burger, Sandwich, Fast Food, Chinese",350
Udipi Krishna,3.8,,"Byculla, Mumbai","Street Food, Chinese, South Indian, Fast Food, Maharashtrian, Desserts, Beverages",450
Alfa Kulfi & Ice Cream,3.7,,"Byculla, Mumbai","Desserts, Ice Cream",200
Bake Studio,3.7,,"Byculla, Mumbai","Bakery, Desserts, Street Food, Fast Food",300
Bombay Charcoal,3.7,,"Byculla, Mumbai","North Indian, Fast Food, Sandwich, Wraps",300
Chopsticks,3.7,,"Byculla, Mumbai",Chinese,500
Jilani Fast Food Corner,3.7,,"Byculla, Mumbai","North Indian, Mughlai, Rolls, Chinese, Fast Food, Lebanese",500
Maasoli Lunch Home,3.7,,"Byculla, Mumbai",Malwani,400
Mom's Kitchen,3.7,,"Byculla, Mumbai","Chinese, Seafood",550
Natural Fusion,3.7,,"Byculla, Mumbai","Ice Cream, Desserts",200
Rampunjab,3.7,,"Byculla, Mumbai","Seafood, North Indian, Chinese, Mughlai",800
Spice 27,3.7,,"Byculla, Mumbai","North Indian, Chinese, Mughlai, Continental",600
Time Pass Cafe By Funshalla,3.7,,"Byculla, Mumbai","Cafe, Chinese, Italian, Fast Food",500
Fakhri Sweets Farsan Bakery,3.6,,"Byculla, Mumbai",Mithai,400
Ice N Spice,3.6,,"Byculla, Mumbai","Chinese, Pizza, Sandwich, Burger, Seafood",450
Maai Restaurant,3.6,,"Byculla, Mumbai","Maharashtrian, North Indian, Malwani, Biryani, Chinese",500
Momos Hut,3.6,,"Byculla, Mumbai",Momos,200
Nawabi's Tawa - Chinese Restaurant,3.6,,"Byculla, Mumbai","Chinese, Fast Food, North Indian",250
Sizzling Sigdi,3.6,,"Byculla, Mumbai","Chinese, Mughlai",700
Snack Shack Fast Food,3.6,,"Byculla, Mumbai","Momos, Burger, Sandwich, Pizza, Fast Food, Wraps",400
The Wadapav Cafe,3.6,,"Byculla, Mumbai","Fast Food, Street Food, Beverages",150
Al Baik,3.5,,"Byculla, Mumbai","Fast Food, Lebanese, Beverages, Rolls, Pizza, Burger, Sandwich, Juices",350
Al Kebabi,3.5,,"Byculla, Mumbai","Mughlai, Chinese, North Indian, Biryani",500
Bombay Burger's,3.5,,"Byculla, Mumbai","Fast Food, Momos, Burger, Rolls",300
Bread's Villa,3.5,,"Byculla, Mumbai","Bakery, Desserts",400
Eatery,3.5,,"Byculla, Mumbai","Healthy Food, Salad, Continental, Rolls, Chinese, Fast Food, Burger, Beverages","1,200"
Hammi's Cafe,3.5,,"Byculla, Mumbai","Fast Food, Momos",300
Hotel Bharat Bhuvan,3.5,,"Byculla, Mumbai","North Indian, South Indian",300
Milk Licious,3.5,,"Byculla, Mumbai","Beverages, Fast Food, Pizza, Desserts, Sandwich",600
Carter Road Social,4.6,"3,377","Carter Road, Bandra West, Mumbai","North Indian, Chinese, Burger, Pizza, Continental, Fast Food, Beverages","1,400"
The Belgian Waffle Co.,4.4,,"Carter Road, Bandra West, Mumbai","Desserts, Beverages",300
Boojee Cafe,4.2,,"Carter Road, Bandra West, Mumbai","Cafe, Beverages, Fast Food, Desserts, Coffee","1,000"
Carter's Blue,4.2,,"Carter Road, Bandra West, Mumbai","Lebanese, Chinese, Mughlai, North Indian",750
Ice Cream Factory,4.2,,"Carter Road, Bandra West, Mumbai","Ice Cream, Desserts, Beverages",300
Shahi Durbar,4.2,,"Carter Road, Bandra West, Mumbai",Desserts,450
The Bagel Shop,4.2,,"Carter Road, Bandra West, Mumbai","Cafe, American, Fast Food, Tea, Beverages","1,200"
The Yoga House,4.2,,"Carter Road, Bandra West, Mumbai","Cafe, Healthy Food, Salad, Desserts, Beverages","1,300"
Carter's Quickeats,4.1,,"Carter Road, Bandra West, Mumbai","Fast Food, American, Beverages",800
El Mercado,4.1,,"Carter Road, Bandra West, Mumbai",Spanish,"1,300"
Lassi Te Parrontthe,4.1,,"Carter Road, Bandra West, Mumbai","North Indian, Beverages",400
Meraki,4.1,,"Carter Road, Bandra West, Mumbai","Chinese, Thai, Burmese, Asian, Seafood, Fast Food",500
GoodDo- The Vegan Eatery,4,,"Carter Road, Bandra West, Mumbai","Fast Food, North Indian, Beverages",300
Pink Sugar,4,,"Carter Road, Bandra West, Mumbai","Bakery, Desserts, Fast Food, Beverages",500
Bhaijaanz,3.9,,"Carter Road, Bandra West, Mumbai","Mughlai, North Indian, Chinese",900
Cafe Kebabiz,3.9,,"Carter Road, Bandra West, Mumbai","Mughlai, Rolls, Kebab, Biryani",450
China Blue,3.9,,"Carter Road, Bandra West, Mumbai","North Indian, Mughlai, Chinese",800
Giani's,3.9,,"Carter Road, Bandra West, Mumbai","Ice Cream, Desserts, Beverages",200
Yummies,3.8,,"Carter Road, Bandra West, Mumbai","Fast Food, Biryani, Chinese",350
Eataeria,3.7,,"Carter Road, Bandra West, Mumbai","Fast Food, Chinese, Rolls",600
Lotus Blossom,3.7,,"Carter Road, Bandra West, Mumbai","Asian, Thai",900
The Churro Co.,3.7,,"Carter Road, Bandra West, Mumbai","Cafe, Bakery, Desserts, Tea, Beverages",750
Bombay Burgers,3.6,,"Carter Road, Bandra West, Mumbai","Burger, Fast Food, Beverages, Wraps",500
Five One Four- The House Of Shawarma,3.6,,"Carter Road, Bandra West, Mumbai","Lebanese, Beverages, Juices, Sandwich, Fast Food",450
Infinite,3.6,,"Carter Road, Bandra West, Mumbai","Desserts, Beverages, Ice Cream, Fast Food",500
Chand's Tikka Point,3.5,,"Carter Road, Bandra West, Mumbai",Rolls,300
Urban Yogurt,3.5,,"Carter Road, Bandra West, Mumbai","Desserts, Beverages",300
WOW! Momo,3.5,,"Carter Road, Bandra West, Mumbai","Momos, Tibetan, Fast Food",400
Beerwings,4.1,329,"Castle Mill, Thane West, Thane","Chinese, North Indian, Fast Food, Seafood, Pizza, Beverages","1,000"
Rainforest Resto-Bar,4.2,"1,400","CBD-Belapur, Navi Mumbai","Chinese, North Indian, Italian, Seafood, Beverages","1,800"
Brew House Cafe,4.2,"1,113","CBD-Belapur, Navi Mumbai","Continental, Mediterranean, Asian, North Indian, Mexican, Fast Food","1,400"
Drink Eat Repeat,4.2,576,"CBD-Belapur, Navi Mumbai","Continental, North Indian, Finger Food","1,400"
Jade Buddha's Pub n Kitchen,4.1,486,"CBD-Belapur, Navi Mumbai","Chinese, Japanese, Mughlai, North Indian","1,500"
The Bar Stock Exchange,4.1,461,"CBD-Belapur, Navi Mumbai","Continental, Chinese, North Indian, Bar Food","1,300"
Ashwith Family Dining Bar,4,464,"CBD-Belapur, Navi Mumbai","North Indian, Chinese, Mughlai, Seafood, Biryani",800
Malvan Tadka,4,177,"CBD-Belapur, Navi Mumbai","Malwani, North Indian, Chinese, Seafood","1,300"
Fusion Grill,3.9,153,"CBD-Belapur, Navi Mumbai","North Indian, Chinese, Fast Food, Mughlai, Malwani","1,000"
Dhamaka Cafe & Lounge Bar,3.9,148,"CBD-Belapur, Navi Mumbai","Continental, Chinese, Fast Food, Kebab","1,500"
Shor- The Disc,3.9,129,"CBD-Belapur, Navi Mumbai","Continental, Italian, Asian","1,400"
Pranaam Fine Dine & Bar,3.8,311,"CBD-Belapur, Navi Mumbai","North Indian, Chinese, Mughlai, Seafood","1,500"
The Kitchen & Bar,3.7,58,"CBD-Belapur, Navi Mumbai","North Indian, Chinese, Malwani, Biryani",700
Rayzelle's,3.5,16,"CBD-Belapur, Navi Mumbai","Mughlai, North Indian, Asian, Continental","1,500"
The Beer Cafe,4.3,"1,048","Chakala, Mumbai","Finger Food, Chinese, North Indian, Thai","2,400"
Cocoon- Dragonfly Hotel,4.2,,"Chakala, Mumbai","North Indian, Chinese, Seafood, Mughlai, Fast Food, Continental, Beverages, Desserts","1,600"
Hit & Run,4.2,,"Chakala, Mumbai","Mughlai, Lebanese, Chinese, Rolls, North Indian, Biryani",500
Reise All Day Bar & Kitchen,4.1,,"Chakala, Mumbai","American, Italian, Chinese, North Indian, European, Asian","1,400"
Saucy Side Up,4.1,,"Chakala, Mumbai","Asian, Chinese",800
Crrave N Eat,4,,"Chakala, Mumbai","Italian, Fast Food, Continental, Sandwich, Pizza, Beverages",600
Just Kerala,4,,"Chakala, Mumbai",Kerala,900
Sangeeta's Kitchen,4,,"Chakala, Mumbai","North Indian, Maharashtrian, Beverages, Malwani",400
Anna Punjabi,3.9,,"Chakala, Mumbai","North Indian, South Indian, Chinese, Fast Food, Beverages, Street Food, Desserts",550
Hare Rama Hare Krishna Pure Veg,3.9,,"Chakala, Mumbai","North Indian, South Indian, Street Food, Fast Food, Chinese, Desserts, Beverages",450
Hash Food,3.9,,"Chakala, Mumbai","North Indian, Thai",400
Kalakaar,3.9,,"Chakala, Mumbai","North Indian, Chinese, Kebab",700
Nagpal Fish Fry,3.9,,"Chakala, Mumbai","North Indian, Chinese, Malwani, Mughlai, Kebab",600
Sandwizzaa,3.9,,"Chakala, Mumbai","Fast Food, Sandwich",400
Shawarma Street,3.9,,"Chakala, Mumbai",Lebanese,300
BonBon Sandwich Center,3.8,,"Chakala, Mumbai","Sandwich, Pizza, Rolls",250
City Wok,3.8,,"Chakala, Mumbai","Chinese, Thai, Fast Food, Seafood, Desserts, Beverages",700
Frankies On Wheels,3.8,,"Chakala, Mumbai","Rolls, Fast Food",200
Lai Bhari Kolhapuri,3.8,,"Chakala, Mumbai",Maharashtrian,700
Mr. Foodiee,3.8,,"Chakala, Mumbai","Chinese, North Indian, Bengali, Rolls",400
Paa - G,3.8,,"Chakala, Mumbai","Pizza, Sandwich, Fast Food, Juices, Beverages",400
Bombay Kitchen,3.7,,"Chakala, Mumbai","North Indian, Chinese, Biryani, Continental, Beverages, Desserts",700
Buddha Delight,3.7,,"Chakala, Mumbai","Chinese, Thai",450
Catch - Flavours Of The Sea,3.7,,"Chakala, Mumbai","Chinese, North Indian, Malwani, Biryani, Kebab",800
Konkan Swad,3.7,,"Chakala, Mumbai","North Indian, Chinese, Konkan",600
Meso Peso,3.7,,"Chakala, Mumbai","Fast Food, Beverages",250
Mumbai Biryani & Kebab's,3.7,,"Chakala, Mumbai","Fast Food, Kebab, Biryani",400
Shakechili,3.7,,"Chakala, Mumbai","Chinese, Lebanese, Fast Food",500
The Light Kitchen,3.7,,"Chakala, Mumbai","Healthy Food, Continental",600
The Naple's Pizzeria,3.7,,"Chakala, Mumbai","Italian, Pizza, Fast Food, Desserts, Beverages",600
Cafe Coffee Day,3.6,,"Chakala, Mumbai","Coffee, Beverages, Fast Food, Desserts",600
Desi Shack,3.6,,"Chakala, Mumbai",Street Food,200
Food Point,3.6,,"Chakala, Mumbai","North Indian, Chinese, Mughlai",500
House Of Momo,3.6,,"Chakala, Mumbai",Momos,200
KGN Momos,3.6,,"Chakala, Mumbai",Momos,100
Maharaja,3.6,,"Chakala, Mumbai","Chinese, North Indian, Mangalorean, Maharashtrian, Mughlai",650
Milkoso,3.6,,"Chakala, Mumbai",Beverages,200
Monginis,3.6,,"Chakala, Mumbai","Bakery, Desserts, Fast Food",500
One Self,3.6,,"Chakala, Mumbai","Healthy Food, Beverages",450
Perfect Fusion Cafe,3.6,,"Chakala, Mumbai","Bakery, Fast Food, Desserts, Sandwich",350
Punjabi Dhaba,3.6,,"Chakala, Mumbai","Chinese, North Indian",300
Sai Kinara,3.6,,"Chakala, Mumbai","Chinese, North Indian, Maharashtrian",300
Saidev,3.6,,"Chakala, Mumbai","North Indian, South Indian, Fast Food, Chinese",800
Samaira's Kitchen,3.6,,"Chakala, Mumbai",Chinese,400
Spice & Ice Resto Bar,3.5,9,"Chakala, Mumbai","North Indian, Chinese, Biryani",700
99 East,3.5,,"Chakala, Mumbai","North Indian, Chinese","1,300"
Aroma Street,3.5,,"Chakala, Mumbai","North Indian, Mughlai, Continental, Asian",600
Janta Sweets & Farsan,3.5,,"Chakala, Mumbai",Mithai,100
Kings Inn Food Hub,3.5,,"Chakala, Mumbai","Chinese, North Indian, Mughlai, Malwani, Kebab",400
Live Baker's,3.5,,"Chakala, Mumbai","Bakery, Desserts, Fast Food",400
Modern Aaji,3.5,,"Chakala, Mumbai","North Indian, Street Food",400
Nayak's Restaurant,3.5,,"Chakala, Mumbai","Chinese, North Indian",800
Vinay Health Home,4.7,,"Charni Road, Mumbai","Maharashtrian, South Indian, Street Food",300
Canto Cafe & Bar,4.5,"3,525","Charni Road, Mumbai","Continental, Mexican, Italian, American, Pizza, Sandwich, Desserts, Beverages","1,800"
Eat Pray Luv,4.3,,"Charni Road, Mumbai","Italian, Mexican, Fast Food","1,300"
Narayan's Dosa,4.3,,"Charni Road, Mumbai",South Indian,300
Say Cheese,4.2,,"Charni Road, Mumbai","Pizza, Fast Food",450
Golden Star Thali,4.1,,"Charni Road, Mumbai","Gujarati, Rajasthani, Desserts",500
Rising Cafe & Diner,4.1,,"Charni Road, Mumbai","Continental, North Indian, Pizza, Beverages, Fast Food","1,300"
Khana Khazana,4,,"Charni Road, Mumbai","North Indian, South Indian, Chinese, Gujarati, Desserts",700
Onomato Pizza,4,,"Charni Road, Mumbai","Pizza, Fast Food, Beverages",600
Shiv Krishna,4,,"Charni Road, Mumbai","North Indian, Chinese, South Indian",450
Sukh Sagar,3.9,,"Charni Road, Mumbai","South Indian, Fast Food, Sandwich",300
Shalimar Juice Centre,3.8,,"Charni Road, Mumbai",Beverages,300
The Tuck Box,3.8,,"Charni Road, Mumbai","Fast Food, Street Food",400
Hotel New Zelam,3.7,,"Charni Road, Mumbai",North Indian,300
Al Baik- Al Brost,3.6,,"Charni Road, Mumbai","Lebanese, Fast Food",400
Darbar Chaat,3.6,,"Charni Road, Mumbai","Chinese, Fast Food, Street Food, South Indian, Maharashtrian",300
Juice Time,3.6,,"Charni Road, Mumbai","Beverages, Chinese, Fast Food, Ice Cream",600
Mr Kalam,3.6,,"Charni Road, Mumbai","Chinese, Fast Food, Rolls",450
SR Restaurant and Lounge,3.6,,"Charni Road, Mumbai","North Indian, Chinese, Street Food, Fast Food, Pizza","1,000"
Wowfillss,3.6,,"Charni Road, Mumbai","Desserts, Beverages",400
India Bistro,4.6,"1,592","Chembur, Mumbai","North Indian, Biryani, Kebab, Mughlai, Seafood, Beverages, Desserts","1,500"
Hotel Sunny,4.5,,"Chembur, Mumbai","Kerala, Chinese, North Indian, Seafood, South Indian, Biryani",650
Ivy Restaurant And Banquets,4.5,,"Chembur, Mumbai","Seafood, North Indian, Mughlai, Malwani, Beverages, Desserts","1,600"
Steamy Mugs,4.5,,"Chembur, Mumbai","Cafe, Fast Food, Tea, Beverages, Sandwich, Street Food",600
Sandy's Den,4.4,774,"Chembur, Mumbai","Fast Food, Finger Food, North Indian, Seafood, Chinese","1,400"
