ID,Name,Price,MRP,Rating,Total,Discount,Seller
116,Gold-Plated Drop Earrings,749,3745,0,0,80,Peora
117,Gold-Plated Statement Necklace,994,2925,0,0,66,SOHI
118,Gold-Plated Jewellery Set,339,1699,0,0,80,ROFARWORD
119,Silver-Plated Oxidized Bangle,1999,1999,0,0,0,Samridhi DC
120,Gold-Plated Jewellery Set,882,2264,0,0,61,Sukkhi
121,Textured Structured Sling Bag,1690,1690,0,0,0,Metro
122,Studs Earrings,1416,1770,0,0,20,PALMONAS
123,Women Silver-Plated Charm Bracelet,899,4495,0,0,80,Peora
124,Rose Gold-Plated Finger Ring,349,349,0,0,0,MYKI
125,Rose Gold-Plated Mangalsutra,881,5875,0,0,85,Vita Bella
126,Set of 2 Silver-Plated Anklets,1999,1999,0,0,0,RUHI COLLECTION
127,Drop Earrings,399,399,0,0,0,MYKI
128,Rhodium-Plated Jewellery Set,559,2799,0,0,80,Aazeen
129,Women PU Belt With Chain Drop,1195,1195,0,0,0,20Dresses
130,Gold-Plated Jewellery Set,453,1164,0,0,61,Sukkhi
131,Silver-Plated Jewellery Set,388,2159,0,0,82,Anouk
132,Rhodium-Plated Drop Earrings,591,3699,0,0,84,Aazeen
133,Rhodium-Plated Bracelet,379,1899,0,0,80,Aazeen
134,Silver-Plated Ring,299,999,0,0,700,VIEN
135,Gold-Plated Necklace,994,2925,0,0,66,SOHI
136,Brass Gold-Plated Layered Necklace,299,2499,0,0,88,Aazeen
137,Set Of 2 Gold-Plated Bangles,665,3699,0,0,82,Aazeen
138,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
139,Drop Earrings,1899,1899,0,0,0,Jewelz
140,Set of 2 Coffee Body Wash,798,798,4.5,69,0,MCaffeine
141,Gold-Plated Short Chain,149,999,0,0,85,JEWEL WORLD
142,Studs Earrings,320,320,0,0,0,MYKI
143,Jhumkas Earrings,459,1999,0,0,77,Aazeen
144,Textured Structured Sling Bag,1690,1690,0,0,0,Metro
145,Gold-Plated Jewellery Set,4000,12500,0,0,68,GRIIHAM
146,Gold-Plated Necklace,1198,3525,0,0,66,SOHI
147,Jhumkas Earrings,299,2999,0,0,90,Kord Store
148,Drop Earrings,399,399,0,0,0,MYKI
149,Rhodium-Plated Jewellery Set,1484,5499,0,0,73,Aazeen
150,Gold-Plated Necklace,359,1799,0,0,80,ROFARWORD
151,Printed Cotton Kurta,2199,2199,0,0,0,Fabindia
152,Gold-Plated Jewellery Set,1488,4800,0,0,69,GRIIHAM
153,Kalamkari Tussar Jute Silk Saree,22899,45798,0,0,50,Unnati Silks
154,Floral Kanjeevaram Saree,5599,5599,0,0,0,MIMOSA
155,Woven Design Taant Saree,4785,4785,0,0,0,AllSilks
156,Gold-Plated Jewellery Set,645,1699,0,0,1054,MANSIYAORANGE
157,Semi-Stitched Lehenga Unstitched Blouse With Dupatta,2299,2299,0,0,0,APNISHA
158,Ready to Wear Lehenga Blouse With Dupatta,6682,12850,0,0,48,Fusionic
159,Zari Banarasi Saree,835,1899,0,0,56,Ode by House of Pataudi
160,Woven Design Kanjeevaram Saree,749,2497,0,0,70,HERE&NOW
161,Striped Pure Cotton Saree,2512,3490,0,0,28,Charukriti
162,Woven Design Silk Cotton Saree,2340,3250,0,0,28,Charukriti
163,Kurti With Sharara & Dupatta,2949,4999,0,0,41,SCAKHI
164,Printed Embellished Saree,1343,4799,0,0,72,Anouk
165,Woven Design Banarasi Silk Blend Saree,1399,6995,0,0,80,RAJGRANTH
166,Kurta with Trousers & Dupatta,3500,4375,0,0,20,HOUSE OF JAMOTI
167,Gold-Plated Long Jewellery Set,465,1699,0,0,1234,MANSIYAORANGE
168,Woven Design Art Silk Saree,2695,2695,0,0,0,Meena Bazaar
169,Pure Chiffon Leheriya Saree,719,2999,0,0,76,KALINI
170,Gold-Plated Necklace,339,1699,0,0,80,ROFARWORD
171,Printed Cotton Ethnic Dress,4671,7299,0,0,36,SCAKHI
172,Printed Pure Cotton Saree,1063,3799,0,0,72,Anouk
173,Paisley Kanjeevaram Saree,4999,4999,0,0,0,MIMOSA
174,Floral Printed Anarkali Kurta,2600,2600,0,0,0,INDYA
175,Ethnic Motifs Silk Blend Saree,3999,3999,0,0,0,Phenav
176,Silver-Plated Oxidized Bangle,1999,1999,0,0,0,Samridhi DC
177,Gold-Plated Jewellery Set,882,2264,0,0,61,Sukkhi
178,Floral Pure Cotton Saree,2340,3250,0,0,28,Charukriti
179,Printed Straight Kurta,699,1999,0,0,65,SkyaSia
180,Rose Gold-Plated Mangalsutra,881,5875,0,0,85,Vita Bella
181,Ethnic Motifs Silk Blend Saree,3999,3999,0,0,0,Phenav
182,Women Embroidered Kurta with Trousers With Dupatta,1646,4449,0,0,63,navibhu
183,Chanderi Silk Cotton Saree,1552,6749,0,0,77,Pisara
184,Tie And Dye Printed Zari Saree,1147,4099,0,0,72,Anouk
185,Striped Pure Cotton Saree,2999,2999,0,0,0,Fabindia
186,Woven Design Pure Cotton Saree,5032,6990,0,0,28,Charukriti
187,Kurti,1900,1900,0,0,0,CRAZEVILLA
188,Kurta with Trousers & Dupatta,3498,4373,0,0,20,HOUSE OF JAMOTI
189,Kota Pure Cotton Saree,1699,3398,0,0,50,Unnati Silks
190,Rhodium-Plated Drop Earrings,591,3699,0,0,84,Aazeen
191,Brass Gold-Plated Layered Necklace,299,2499,0,0,88,Aazeen
192,Set Of 2 Gold-Plated Bangles,665,3699,0,0,82,Aazeen
193,Woven Design Kanjeevaram Art Silk Saree,4199,4199,0,0,0,MIMOSA
194,Checked Pure Crepe Saree,1699,4000,0,0,2301,Kasak
195,Striped Silk Blend Saree,1133,5150,0,0,78,Satrani
196,Checked Kanjeevaram Saree,1014,2899,0,0,65,Anouk
197,Floral Pure Linen Saree,1799,4499,0,0,60,DIVASTRI
198,Printed A-Line Ethnic Dress,2499,2499,0,0,0,KALINI
199,Striped Handloom Saree,7689,7689,0,0,0,AllSilks
200,Printed Tussar Pure Silk Saree,5643,5643,0,0,0,AllSilks
201,Cosmos BT Calling Smartwatch,7499,7499,0,0,0,pebble
202,Women Watch Bracelet Gift Set,5299,5299,0,0,0,Voylla
203,Women Watch Bracelet Gift Set,4399,4399,0,0,0,Voylla
204,Women Watch Bracelet Gift Set,4199,4199,0,0,0,Voylla
205,Women Watch Bracelet Gift Set,5499,5499,0,0,0,Voylla
206,Women Watch Bracelet Gift Set,3999,3999,0,0,0,Voylla
207,Women Watch Bracelet Gift Set,4549,4549,0,0,0,Voylla
208,Women Watch Bracelet Gift Set,4499,4499,0,0,0,Voylla
209,Cosmos BT Calling Smartwatch,2799,7499,0,0,4700,pebble
210,Cosmos BT Calling Smartwatch,2799,7499,0,0,4700,pebble
211,Cosmos BT Calling Smartwatch,2799,7499,0,0,4700,pebble
212,Women Watch Bracelet Gift Set,4699,4699,0,0,0,Voylla
213,Analogue Straps Watch,599,3499,0,0,2900,CERO
214,Printed Dial Analogue Watch,599,3499,0,0,2900,CERO
215,Women Bracelet Style Watch,899,4495,0,0,80,Swiss Design
216,Stainless Steel Straps Watch,599,3499,0,0,2900,CERO
217,Women Analogue Watch,813,2199,0,0,63,DressBerry
218,Women Leather Straps Watch,643,2299,0,0,72,Killer
219,Stainless Steel Straps Watch,599,3499,0,0,2900,CERO
220,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
221,Pack Of 2 Analogue Watch,599,3499,0,0,2900,CERO
222,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
223,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
224,Set Of 2 Analogue Straps Watch,599,3499,0,0,2900,CERO
225,Women Leather Straps Watch,874,3499,0,0,75,Killer
226,Rubber Straps Analogue Watch,599,3499,0,0,2900,CERO
227,Women Leather Strap Watch,699,2499,0,0,72,Killer
228,Women Stainless Steel Watch,499,2199,0,0,1700,WATCHSTAR
229,Stainless Steel Straps Watch,599,3499,0,0,2900,CERO
230,Pack Of 2 Analogue Watch,599,3499,0,0,2900,CERO
231,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
232,Women Bracelet Style Watch,899,4495,0,0,80,Swiss Design
233,Stainless Steel Straps Watch,599,3499,0,0,2900,CERO
234,Ninja Call Ultra Smartwatch,1499,9999,0,0,8500,Fire-Boltt
235,Stainless Steel Straps Watch,599,3499,0,0,2900,CERO
236,Women Silecon Textured Watch,43000,43000,0,0,0,TISSOT
237,Set Of 3 Analogue Watch,599,3499,0,0,2900,CERO
238,Unisex Leather Watch,66500,66500,0,0,0,TISSOT
239,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
240,Women Set Of 3 Analogue Watch,599,3499,0,0,2900,CERO
241,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
242,Analogue Straps Watch,599,3499,0,0,2900,CERO
243,Women Analogue Watch,499,2199,0,0,1700,WATCHSTAR
244,Printed Dial Analogue Watch,599,3499,0,0,2900,CERO
245,Women Stainless Steel Straps Watch,499,2199,0,0,1700,WATCHSTAR
246,Women Analogue Watch,813,2199,0,0,63,DressBerry
247,Women Embellished Watch,1695,1695,0,0,0,maxima
248,Stainless Steel Analogue Watch,599,3499,0,0,2900,CERO
249,Women Set Of 2 Analogue Watch,599,3499,0,0,2900,CERO
250,Women Analogue Watch,1447,2895,0,0,50,Timex
251,Women Low-Rise Bikini Briefs,459,1999,0,0,77,Curves By ZeroKaata
252,Women Lace Thongs Briefs,459,1999,0,0,77,Curves By ZeroKaata
253,Women Thongs Briefs,459,1999,0,0,77,Curves By ZeroKaata
254,Women Boy Shorts Briefs,459,1999,0,0,77,Curves By ZeroKaata
255,Women Plus Size Lingerie Set,700,2500,0,0,72,Curves By ZeroKaata
256,Women Plus Size Lingerie Set,700,2500,0,0,72,Curves By ZeroKaata
257,Women Lace Hipster Briefs,459,1999,0,0,77,Curves By ZeroKaata
258,Slim Fit Cotton Churidar,594,1450,0,0,59,SECRETS BY ZEROKAATA
259,Pack of 2 Cover Up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
260,Pack of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
261,Cotton Slim-Fit Churidar,594,1450,0,0,59,SECRETS BY ZEROKAATA
262,Pack Of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
263,Pack Of 2 Cover-up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
264,Pack Of 2 Cover Up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
265,Pack Of 2 Cover-up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
266,Pack Of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
267,Pack Of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
268,Pack Of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
269,Pack Of 2 Cover Up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
270,Pack Of 2 Cover Up Dress,2392,7250,0,0,67,SECRETS BY ZEROKAATA
271,Pack Of 2 Cover Up Dress,2610,7250,0,0,64,SECRETS BY ZEROKAATA
272,Seamless Skirt Shapewear,690,1725,5,2,60,SECRETS BY ZEROKAATA
273,Seamless Shapewear Skirt,690,1725,5,2,60,SECRETS BY ZEROKAATA
274,Seamless Skirt Shapewear,690,1725,5,2,60,SECRETS BY ZEROKAATA
275,4 Way Stretch Churidar Length Leggings,594,1450,5,2,59,SECRETS BY ZEROKAATA
276,4 Way Stretch Cotton Leggings,594,1450,5,2,59,SECRETS BY ZEROKAATA
277,4 Way Stretch Churidar Length Leggings,594,1450,5,2,59,SECRETS BY ZEROKAATA
278,4 Way Stretch Churidar Length Leggings,594,1450,5,3,59,SECRETS BY ZEROKAATA
279,4 Way Stretch Cotton Leggings,594,1450,5,2,59,SECRETS BY ZEROKAATA
280,Kurta with Trousers,1359,3999,0,0,66,Sringam
281,Plus Size Printed Cotton Kurta,989,2999,0,0,67,Sringam
282,Ethnic Motifs Printed Kurta,989,2999,0,0,67,Sringam
283,Straight Kurta with Trousers,1286,3299,4,3,61,Sringam
284,Plus Size Kurta with Trousers,1563,4599,4,8,66,Sringam
285,Plus Size Silk Cotton Kurta,857,2599,0,0,67,Sringam
286,Plus Size  Printed Kurta,959,2999,4,2,68,Sringam
287,Printed Kurta with Trousers,1529,4499,0,0,66,Sringam
288,Floral Printed Cotton Kurta,956,2899,0,0,67,Sringam
289,Embroidered Silk Cotton Kurta,951,2799,0,0,66,Sringam
290,Plus Size Kurta with Trousers,1399,3999,0,0,65,Sringam
291,Women Geometric Embroidered Kurta,951,2799,4.3,3,66,Sringam
292,Ethnic Motifs Printed Kurta,927,2899,0,0,68,Sringam
293,Printed Extended Sleeves Top,815,1699,0,0,52,Ruhaans
294,Striped A-Line Midi Dress,827,3599,0,0,77,FLAMBOYANT
295,Women Parallel Trousers,1199,2999,0,0,60,Next One
296,Mandarin Collar Shirt Style Top,794,2649,0,0,70,MALHAAR
297,Ethnic Motifs Printed Pure Cotton Kurti,499,2499,0,0,2000,FERANOID
298,Checked Shirt Style Top,1199,1999,0,0,40,IDK
299,Puff-Sleeved Top,999,999,4.3,66,0,H&M
300,Women Plus Size Shirt,599,1499,4.7,21,60,Sztori
301,UV Protected Oval Sunglasses,4999,4999,0,0,0,RESIST EYEWEAR
302,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
303,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
304,Women Rectangle Sunglasses,1295,1295,0,0,0,20Dresses
305,Rectangle Sunglasses,645,1290,0,0,50,MAGNEQ
306,Women Cateye Sunglasses,1395,1395,0,0,0,20Dresses
307,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
308,Square Sunglasses,903,1290,0,0,30,MAGNEQ
309,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
310,Wayfarer Sunglasses,679,1999,0,0,66,Peter Jones Eyewear
311,Women Cateye Sunglasses,1295,1295,0,0,0,20Dresses
312,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
313,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
314,Square Sunglasses,645,1290,0,0,50,MAGNEQ
315,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
316,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
317,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
318,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
319,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
320,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
321,Square Sunglasses,755,2799,0,0,73,Peter Jones Eyewear
322,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
323,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
324,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
325,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
326,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
327,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
328,Rectangle Sunglasses,645,1290,0,0,50,MAGNEQ
329,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
330,Square Sunglasses,611,1699,0,0,64,Peter Jones Eyewear
331,Square Sunglasses,599,1499,0,0,60,Peter Jones Eyewear
332,Rectangle Sunglasses,645,1290,0,0,50,MAGNEQ
333,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
334,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
335,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
336,Round Sunglasses,659,2199,0,0,70,Peter Jones Eyewear
337,Square Sunglasses,611,1699,0,0,64,Peter Jones Eyewear
338,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
339,Women Square Sunglasses,1295,1295,0,0,0,20Dresses
340,Aviator Sunglasses,903,1290,0,0,30,MAGNEQ
341,Square Sunglasses,703,2199,0,0,68,Peter Jones Eyewear
342,Wayfarer Sunglasses,903,1290,0,0,30,MAGNEQ
343,Women Rectangle Sunglasses,1395,1395,0,0,0,20Dresses
344,UV Protected Oval Sunglasses,1799,4999,0,0,64,RESIST EYEWEAR
345,Cateye Sunglasses,903,1290,0,0,30,MAGNEQ
346,Square Sunglasses,903,1290,0,0,30,MAGNEQ
347,Wayfarer Sunglasses,1043,1490,0,0,30,MAGNEQ
348,Women Square Sunglasses,1495,1495,0,0,0,20Dresses
349,Aviator Sunglasses,3650,7300,0,0,50,Levis
350,Women Cateye Sunglasses,1780,1780,0,0,0,IRUS by IDEE
351,Women Sliders,1299,1299,0,0,0,JUMPLITE
352,Textured Block Pump Heels,990,2200,0,0,55,Mast & Harbour
353,Women Embellished TStrap Flats,3499,3499,0,0,0,Skechers
354,Women Open Toe Flats,649,999,0,0,35,WALKWAY by Metro
355,Women Open Toe Flats,584,1299,0,0,55,Anouk
356,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
357,Textured PU Block Pumps Heels,990,2200,0,0,55,Mast & Harbour
358,Open Toe Wedges,799,1999,0,0,60,HASTEN
359,Women Sliders,1299,1299,0,0,0,JUMPLITE
360,Open Toe Flatform Heels,899,1999,0,0,55,HASTEN
361,Women Flyknit Sports Shoes,1999,1999,0,0,0,JUMPLITE
362,Women Open Toe Flats,999,999,0,0,0,Walkfree
363,Women Striped Sliders,1299,1299,0,0,0,JUMPLITE
364,Women Flyknit Running Shoes,1999,1999,0,0,0,JUMPLITE
365,Women Sliders,1299,1299,0,0,0,JUMPLITE
366,Women Sliders,1299,1299,0,0,0,JUMPLITE
367,Women Flyknit Running Shoes,1999,1999,0,0,0,JUMPLITE
368,Future Rider Pastel Sneakers,8999,8999,0,0,0,Puma
369,Women Striped Sliders,1299,1299,0,0,0,JUMPLITE
370,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
371,Women Bow Detail Open Toe Flat,999,2499,0,0,60,Mast & Harbour
372,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
373,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
374,Textured PU Block Pumps Heels,990,2200,0,0,55,Mast & Harbour
375,Slim Heeled Pumps,899,1999,0,0,55,HASTEN
376,Women Flyknit Sports Shoes,1999,1999,0,0,0,JUMPLITE
377,Women Embellished Sliders,1299,1299,0,0,0,JUMPLITE
378,Women Textured Open Toe Flats,844,1299,0,0,35,WALKWAY by Metro
379,Alice V4 Thong Flip Flops,1499,1499,0,0,0,Puma
380,Cut-Out One Toe Flats,1499,1499,0,0,0,PEPPER
381,Wedge Sandals with Buckles,1499,1499,0,0,0,Walkfree
382,Women Sliders,1299,1299,0,0,0,JUMPLITE
383,Women Open Toe Flats,974,1499,0,0,35,WALKWAY by Metro
384,Women Printed Thong Flip-Flops,449,899,0,0,50,CHUPPS
385,Women Textured One Toe Flats,1199,1199,0,0,0,Brauch
386,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
387,Women Flyknit Sports Shoes,1999,1999,0,0,0,JUMPLITE
388,Women Printed Sliders,1299,1299,0,0,0,JUMPLITE
389,Women Flyknit Sports Shoes,1999,1999,0,0,0,JUMPLITE
390,Women Air Running Shoes,1999,1999,0,0,0,JUMPLITE
